3860,3861,3862,3863,3864,3865,3866,3867,3868,3869,3870,3871,3872,3873,3874,3875,3876,3877,3878,3879,3880,3881,3882,3883,3884,3885,3886,3887,3888,3889,3890,3891,3892,3893,3894,3895,3896,3897,3898,3899,3900,3901,3902,3903,3904,3905,3906,3907,3908,3909,3910,3911,3912,3913,3914,3915,3916,3917,3918,3919,3920,3921,3922,3923,3924,3925,3926,3927,3928,3929,3930,3931,3932,3933,3934,3935,3936,3937,3938,3939,3940,3941,3942,3943,3944,3945,3946,3947,3948,3949,3950,3951,3952,3953,3954,3955,3956,3957,3958,3959,3960,3961,3962,3963,3964,3965,3966,3967,3968,3969,3970,3971,3972,3973,3974,3975,3976,3977,3978,3979,3980,3981,3982,3983,3984,3985,3986,3987,3988,3989,3990,3991,3992,3993,3994,3995,3996,3997,3998,3999,4000,4001,4002,4003,4004,4005,4006,4007,4008,4009,4010,4011,4012,4013,4014,4015,4016,4017,4018,4019,4020,4021,4022,4023,4024,4025,4026,4027,4028,4029,4030,4031,4032,4033,4034,4035,4036,4037,4038,4039,4040,4041,4042,4043,4044,4045,4046,4047,4048,4049,4050,4051,4052,4053,4054,4055,4056,4057,4058,4059,4060,4061,4062,4063,4064,4065,4066,4067,4068,4069,4070,4071,4072,4073,4074,4075,4076,4077,4078,4079,4080,4081,4082,4083,4084,4085,4086,4087,4088,4089,4090,4091,4092,4093,4094,4095,4096,4097,4098,4099,4100,4101,4102,4103,4104,4105,4106,4107,4108,4109,4110,4111,4112,4113,4114,4115,4116,4117,4118,4119,4120,4121,4122,4123,4124,4125,4126,4127,4128,4129,4130,4131,4132,4133,4134,4135,4136,4137,4138,4139,4140,4141,4142,4143,4144,4145,4146,4147,4148,4149,4150,4151,4152,4153,4154,4155,4156,4157,4158,4159,4160,4161,4162,4163,4164,4165,4166,4167,4168,4169,4170,4171,4172,4173,4174,4175,4176,4177,4178,4179,4180,4181,4182,4183,4184,4185,4186,4187,4188,4189,4190,4191,4192,4193,4194,4195,4196,4197,4198,4199,4200,4201,4202,4203,4204,4205,4206,4207,4208,4209,4210
18,133,36,19,3,18,7,16,19,7,52,31,10,11,2,7,10,22,20,27,43,33,91,38,29,38,15,11,33,22,20,11,2,18,24,36,7,14,66,11,5,29,31,4,10,36,38,27,27,24,15,33,31,2,7,11,33,24,19,9,14,38,19,15,5,4,22,29,16,12,11,20,16,7,12,7,46,38,11,3,4,14,20,16,12,12,24,25,13,22,49,49,29,6,3,22,31,27,38,24,31,15,4,27,84,88,33,20,18,20,19,27,38,66,29,7,4,24,114,76,55,91,87,73,29,43,36,3,12,59,15,7,10,18,83,66,18,24,73,22,9,33,43,20,9,14,83,19,20,8,10,38,76,83,36,24,20,22,43,10,7,18,46,55,49,27,43,36,22,15,38,41,10,8,14,35,29,4,15,8,6,22,35,24,9,15,22,43,15,9,18,43,35,33,66,33,38,59,29,22,13,20,18,19,31,29,7,5,19,62,20,7,20,27,24,22,7,31,49,29,7,6,22,52,24,8,22,72,80,27,8,16,22,35,24,35,12,5,12,35,18,12,29,35,31,20,29,7,18,144,24,20,7,11,20,24,59,46,72,66,18,24,91,113,59,59,76,72,98,98,76,76,55,46,52,41,46,109,80,80,83,172,125,113,154,140,102,121,129,59,41,157,163,102,55,29,25,31,24,18,31,62,49,38,25,24,18,29,59,83,69,52,31,8,10,22,5,7,46,35,35,35,22,11,20,29,10,2,8,52,91,38,24,83,140,125,129,163,178,136,117,140,143,187,187,151,199,183,206,189,180
29,110,49,16,11,7,12,24,8,8,24,16,43,20,3,8,18,18,15,41,16,33,91,84,95,27,8,12,84,38,11,7,9,49,49,33,12,9,19,7,10,52,18,7,11,46,46,24,8,16,33,24,9,9,15,9,27,13,18,20,10,27,19,14,9,5,22,66,13,31,16,16,6,3,27,20,18,11,9,1,3,29,19,11,7,10,22,31,10,31,52,59,43,3,3,15,33,22,33,31,38,15,3,25,27,24,43,16,46,10,59,80,27,31,24,3,5,52,121,59,20,36,84,24,33,87,83,4,3,22,19,4,8,31,80,38,15,31,43,46,20,22,24,18,18,18,46,49,15,12,4,14,66,59,36,18,22,43,24,7,2,20,55,55,46,24,4,36,52,43,49,46,24,10,4,8,18,14,43,27,18,12,27,24,52,31,46,31,29,4,12,43,38,9,20,22,35,49,46,25,31,11,8,52,19,20,16,19,14,24,35,9,19,43,43,29,8,11,24,31,8,6,19,55,43,10,18,52,46,20,10,24,33,49,27,29,16,25,9,12,14,12,38,35,15,13,10,16,8,95,7,6,66,20,49,25,33,49,55,87,46,69,110,52,55,41,129,91,80,83,43,91,117,69,41,66,87,109,117,55,106,154,157,109,133,151,151,133,125,80,76,151,117,87,83,24,24,35,24,15,9,55,49,38,69,10,19,22,59,140,192,140,72,72,55,121,35,33,106,66,11,33,46,15,46,95,46,16,13,83,172,129,121,113,198,178,98,133,125,143,154,140,121,163,183,154,191,214,209,169,175
24,77,36,7,3,9,46,24,5,4,15,38,12,18,10,10,19,31,52,13,7,18,31,33,62,15,10,6,43,80,14,7,29,49,19,10,15,16,7,9,62,31,3,29,7,9,38,27,11,11,19,7,4,15,18,15,15,15,15,27,8,46,62,12,11,14,19,16,10,49,16,15,4,7,16,20,7,6,19,2,20,27,12,7,8,16,24,15,14,49,31,43,18,5,10,5,18,29,38,62,36,15,7,19,12,10,36,15,55,15,36,31,18,33,29,6,18,19,43,80,29,7,20,18,22,87,84,24,4,18,20,13,73,43,24,49,27,12,19,38,27,14,14,14,33,13,19,52,10,11,29,9,18,36,16,10,20,19,38,19,14,15,31,13,14,16,7,27,52,73,49,16,15,14,2,10,49,24,24,16,18,22,11,18,46,35,38,20,19,14,18,55,43,33,10,22,62,10,59,49,22,16,9,6,16,24,43,22,7,15,24,14,27,62,66,15,20,66,29,19,7,4,9,29,80,24,7,16,9,8,18,35,8,55,27,19,49,18,8,4,19,55,25,15,7,7,7,8,5,22,11,8,49,31,18,12,7,43,121,91,76,62,110,110,140,66,129,66,106,98,55,125,133,98,76,125,129,95,83,106,143,87,91,95,187,121,76,129,143,113,76,91,163,109,76,49,18,31,31,31,10,33,38,117,87,20,13,10,87,189,183,187,175,147,117,143,117,133,129,49,125,147,66,76,95,166,147,125,140,180,187,191,178,133,154,199,143,169,154,169,117,125,125,151,177,166,191,187,140,121,151
29,18,20,8,1,14,84,24,14,20,10,18,15,12,24,12,18,25,41,18,16,12,10,16,18,11,3,2,19,73,46,9,12,27,18,10,9,36,10,15,31,20,3,20,10,8,31,24,22,16,9,11,11,7,12,12,6,31,20,29,4,24,59,12,16,19,10,13,14,49,11,13,6,14,5,31,7,15,13,4,19,25,12,9,15,10,13,24,43,27,19,15,4,14,19,6,7,38,46,73,36,15,6,18,38,8,18,31,31,24,7,16,18,14,27,43,73,15,11,66,33,4,6,20,19,91,55,49,6,1,33,43,38,33,20,31,19,4,8,16,24,36,87,59,19,3,24,55,55,19,15,7,8,31,38,8,12,31,7,20,29,31,27,22,33,43,8,12,80,49,12,10,29,36,73,36,49,16,14,20,49,83,36,15,24,33,62,13,10,43,22,33,73,62,49,22,27,7,20,24,35,43,4,1,18,27,29,35,35,7,8,33,31,55,25,16,43,52,31,15,5,16,22,24,76,46,9,15,16,11,25,12,22,66,22,10,38,7,4,20,38,46,13,16,15,5,3,3,15,16,16,35,33,27,9,18,7,22,151,110,95,113,106,95,175,121,87,125,175,110,110,95,121,147,147,166,151,91,106,125,109,83,83,91,172,109,76,180,121,129,117,80,143,154,41,18,13,33,106,12,10,24,72,49,18,35,13,12,52,183,196,187,163,140,133,125,109,121,59,166,95,133,169,91,98,151,199,154,157,169,154,129,163,180,117,147,191,191,175,157,98,147,183,191,169,151,121,87,49,106,129
16,16,29,6,2,31,49,27,15,15,9,11,18,18,43,43,12,12,19,49,91,16,6,6,7,12,4,6,16,31,29,8,24,99,66,20,14,29,7,15,16,43,4,8,59,22,10,29,36,16,11,46,27,7,3,7,11,52,33,38,36,6,14,27,49,16,11,15,14,31,8,6,3,15,22,27,15,15,11,4,18,22,20,16,9,7,15,38,22,15,27,9,4,19,8,18,8,24,29,59,43,24,33,36,33,10,11,38,16,15,2,19,20,4,24,110,84,27,4,22,22,7,20,24,16,73,55,59,4,2,31,24,5,22,83,36,12,3,5,31,38,73,106,55,1,24,52,36,83,19,2,18,59,55,76,38,18,38,19,33,33,31,8,18,114,19,33,20,33,25,10,15,27,117,129,33,27,24,29,14,66,52,76,27,16,27,27,20,20,20,9,13,117,106,24,18,27,22,20,20,12,33,19,9,20,29,29,43,12,7,18,38,24,18,29,38,52,22,35,14,22,72,18,22,62,59,19,33,31,52,18,33,66,33,13,7,10,8,9,46,31,18,18,24,35,16,3,5,18,19,22,52,16,20,12,19,18,22,95,110,62,113,66,125,157,66,178,133,166,83,95,95,98,136,117,121,151,175,147,95,66,102,87,109,143,113,154,129,95,121,147,133,125,87,18,11,29,38,59,9,11,18,83,46,38,15,12,24,55,172,210,191,133,129,147,66,129,69,95,83,133,109,183,49,46,147,147,52,46,80,83,113,113,157,98,109,198,143,163,172,187,95,151,187,151,98,33,27,72,66,95
24,11,12,19,36,52,22,15,16,14,7,8,20,33,38,36,33,27,8,19,80,12,9,12,7,43,15,7,20,14,4,1,36,181,110,20,14,38,15,7,24,33,3,2,46,52,16,22,18,8,16,55,29,9,7,19,33,49,38,84,62,2,7,20,59,36,11,10,27,33,6,6,9,33,59,15,20,16,18,7,11,9,29,15,7,10,19,10,7,19,52,15,16,15,16,10,18,25,33,73,27,29,66,55,22,10,6,29,19,14,36,18,20,1,52,95,31,49,13,8,16,9,19,22,16,36,62,20,9,15,19,10,7,19,76,36,14,12,16,38,46,46,110,33,1,24,52,22,76,76,7,27,125,95,62,55,22,43,66,31,10,7,16,24,69,49,25,52,29,9,22,62,24,20,73,46,62,22,18,27,27,62,52,18,5,19,10,24,73,10,3,16,59,87,29,5,31,20,16,6,20,31,19,9,22,22,16,13,10,29,59,43,20,29,10,31,52,35,31,16,29,46,55,11,33,59,19,11,38,31,66,62,31,13,18,33,8,9,19,46,29,20,22,15,27,29,11,12,5,15,22,8,18,33,11,10,20,16,49,140,62,66,95,87,143,46,143,125,140,121,91,83,91,125,113,140,140,133,151,143,80,66,129,87,59,154,91,147,83,151,52,136,76,38,35,19,25,25,24,59,35,15,59,31,59,24,29,41,80,183,183,207,217,113,91,69,117,59,109,121,129,163,129,87,87,52,154,140,76,91,87,87,140,98,204,117,117,147,187,169,80,151,169,151,154,87,33,59,121,140,91
22,33,24,10,38,56,5,5,29,10,10,56,38,12,18,13,10,10,19,24,52,19,8,24,11,76,66,16,9,14,18,15,22,121,76,10,5,14,38,20,38,16,2,7,16,18,29,14,5,6,11,18,16,18,7,29,52,20,66,46,15,4,7,9,19,38,12,7,24,20,6,33,18,18,38,11,15,27,25,7,5,11,19,13,13,18,15,11,11,19,22,36,33,8,19,18,25,29,38,66,27,10,29,46,18,9,10,33,18,16,59,24,19,7,110,38,19,46,24,4,5,7,10,24,24,15,18,24,66,5,8,11,16,22,20,18,24,29,20,33,38,46,76,22,5,19,59,29,55,83,22,10,43,76,43,27,66,73,8,9,19,5,62,52,110,19,43,62,38,10,29,33,13,11,49,80,49,31,11,12,80,20,36,3,16,12,76,83,16,6,18,66,83,16,29,19,10,27,38,8,7,24,12,9,12,18,7,10,9,24,87,19,15,46,35,10,10,31,33,15,18,7,24,29,18,24,16,18,15,49,80,52,19,18,18,24,29,20,20,35,55,43,20,7,19,31,33,52,4,8,22,11,22,31,19,9,4,7,49,129,55,29,87,98,117,83,69,157,95,129,91,76,98,154,157,95,83,121,175,113,83,121,113,95,91,87,98,129,66,69,59,91,98,87,59,19,24,52,24,10,29,29,31,33,33,35,31,35,113,187,207,125,102,109,106,80,80,52,76,157,121,178,154,95,95,169,147,140,76,41,109,133,183,157,193,207,157,183,157,129,147,166,95,98,180,169,109,121,154,169,196
24,91,20,7,31,7,2,10,27,18,56,95,56,9,4,8,4,12,7,16,15,16,11,13,7,110,76,46,9,8,20,11,14,8,14,8,10,15,8,73,66,3,1,36,20,7,14,27,24,20,12,19,19,19,4,29,38,6,36,22,20,12,7,6,7,20,12,4,14,18,8,29,13,4,24,16,14,19,18,13,24,25,19,25,22,10,22,38,8,5,19,24,19,19,20,25,22,24,29,52,36,9,5,31,43,16,15,24,24,19,52,62,46,59,59,38,27,22,15,1,1,7,27,52,27,7,19,91,66,1,3,29,19,24,8,9,46,25,19,27,36,38,33,20,20,31,38,36,80,73,24,11,14,22,19,31,95,36,2,22,95,18,87,73,66,95,20,36,59,38,11,15,55,15,9,59,18,22,8,43,7,46,18,14,13,22,98,33,8,11,27,27,19,18,20,10,10,59,9,14,73,11,29,18,6,22,29,11,31,59,95,29,46,7,87,11,9,10,14,11,16,66,46,19,9,4,24,31,9,66,27,33,24,7,8,16,80,24,15,20,80,72,16,7,15,43,22,76,7,15,22,10,10,55,27,7,1,11,62,113,52,31,49,83,95,125,91,129,95,140,95,76,117,154,147,87,87,151,163,95,91,95,113,143,98,113,102,106,109,59,87,91,80,95,62,24,35,31,38,35,35,31,22,22,12,31,33,55,140,169,172,175,125,80,76,62,80,80,66,147,143,83,121,106,121,113,83,117,87,66,117,125,98,140,125,196,180,172,154,191,154,121,133,157,177,187,98,69,129,136,189
14,38,29,4,62,5,1,14,14,18,59,46,29,22,4,14,24,20,11,56,8,18,8,36,49,15,24,29,18,15,36,16,4,3,10,38,59,12,38,15,33,2,9,24,41,16,14,29,33,36,29,14,18,15,10,6,43,15,38,24,20,24,11,9,11,14,20,13,18,11,7,6,27,5,16,13,15,12,18,15,31,38,52,38,9,9,24,20,5,11,22,31,11,25,16,22,25,24,18,24,38,15,4,36,80,18,31,16,38,7,19,62,55,31,12,38,27,9,4,1,8,31,49,33,22,18,76,43,36,12,7,15,25,24,7,10,24,14,11,31,31,22,24,18,27,29,59,36,80,52,7,7,8,19,25,55,62,15,18,73,91,16,11,31,36,46,16,52,106,36,8,9,24,11,3,22,76,27,5,10,29,38,5,20,18,29,33,36,33,22,12,7,10,106,91,31,19,24,46,7,12,49,62,19,33,62,31,5,12,98,98,52,7,4,10,20,33,20,15,19,22,29,38,20,4,5,35,46,4,13,31,9,19,19,8,49,62,31,8,22,22,9,7,18,16,46,11,20,18,31,29,19,14,98,12,12,9,13,59,133,38,31,33,87,62,87,117,121,113,125,83,80,113,147,140,80,52,129,154,154,154,117,175,113,129,83,109,113,129,80,62,62,106,95,66,29,16,25,66,25,62,41,29,18,7,13,38,125,172,157,147,163,151,52,38,113,140,117,151,147,72,16,49,43,49,125,76,76,143,129,98,109,80,129,59,87,143,193,177,109,166,166,95,163,163,169,151,95,91,125,166
